Time,Shoreline
1999-01-02,56.4
1999-01-03,57.673
1999-01-04,58.593333333333334
1999-01-05,56.4545
1999-01-06,61.905
1999-01-07,61.209
1999-01-08,60.388000000000005
1999-01-09,60.972
1999-01-10,60.318
1999-01-11,59.6365
1999-01-12,59.155
1999-01-13,58.717
1999-01-14,57.89
1999-01-15,56.565
1999-01-16,57.6485
1999-01-17,58.978
1999-01-18,59.4045
1999-01-19,58.053
1999-01-20,57.059
1999-01-21,55.7735
1999-01-22,54.894
1999-01-23,54.929
1999-01-24,55.016
1999-01-25,55.103
1999-01-26,55.189
1999-01-27,55.276
1999-01-28,55.362
1999-01-29,55.449
1999-01-30,55.5785
1999-01-31,55.708
1999-02-01,55.795
1999-02-02,55.881
1999-02-03,55.968
1999-02-04,56.054
1999-02-05,56.141
1999-02-06,56.228
1999-02-07,56.314
1999-02-08,56.401
1999-02-09,56.487
1999-02-10,56.224333333333334
1999-02-11,55.0475
1999-02-12,54.989
1999-02-13,55.0805
1999-02-14,55.807500000000005
1999-02-15,56.548
1999-02-16,57.447500000000005
1999-02-17,58.142
1999-02-18,54.3995
1999-02-19,54.621
1999-02-20,57.8575
1999-02-21,54.703
1999-02-22,55.361
1999-02-23,56.212
1999-02-24,57.062
1999-02-25,58.338499999999996
1999-02-26,59.614
1999-02-27,60.465
1999-02-28,61.316
1999-03-01,61.941
1999-03-02,61.6195
1999-03-03,58.4895
1999-03-04,54.636
1999-03-05,54.673
1999-03-06,55.344
1999-03-07,54.715
1999-03-08,56.653
1999-03-09,57.593
1999-03-10,56.175
1999-03-11,54.591
1999-03-12,55.71
1999-03-13,56.758
1999-03-14,57.806
1999-03-15,58.854
1999-03-16,59.102999999999994
1999-03-17,56.3635
1999-03-18,57.281499999999994
1999-03-19,58.564
1999-03-20,59.567
1999-03-21,60.346
1999-03-22,59.681
1999-03-23,58.9905
1999-03-24,58.628
1999-03-25,58.112
1999-03-26,57.953
1999-03-27,58.204499999999996
1999-03-28,58.503
1999-03-29,58.47
1999-03-30,58.108000000000004
1999-03-31,57.734
1999-04-01,58.872
1999-04-02,59.942
1999-04-03,58.088
1999-04-04,60.0925
1999-04-05,59.601
1999-04-06,57.055
1999-04-07,57.36
1999-04-08,57.666
1999-04-09,57.972
1999-04-10,58.431
1999-04-11,58.89
1999-04-12,59.373
1999-04-13,60.142
1999-04-14,60.91
1999-04-15,61.6135
1999-04-16,61.2475
1999-04-17,61.861
1999-04-18,63.33
1999-04-19,65.57650000000001
1999-04-20,61.2185
1999-04-21,61.1065
1999-04-22,61.067499999999995
1999-04-23,61.043
1999-04-24,58.117
1999-04-25,55.9215
1999-04-26,54.9855
1999-04-27,55.408
1999-04-28,56.5195
1999-04-29,57.335499999999996
1999-04-30,56.0015
